FileName,efConstruction,M,efSearch,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts
vdb_random-100-match-kw-small-vocab-no-filters,120,16,200,0.0,0,0.66762,0.004985854600090527,1920000,49858546
vdb_random-100-match-kw-small-vocab-no-filters,120,16,400,0.0,0,0.78285,0.007326250174082815,1920000,73262501
vdb_random-100-match-kw-small-vocab-no-filters,120,16,600,0.0,0,0.84362,0.04343714506831019,1920000,434371450
vdb_random-100-match-kw-small-vocab-no-filters,120,32,100,0.0,0,0.70158,0.028752274077851313,3840000,287522740
vdb_random-100-match-kw-small-vocab-no-filters,120,32,200,0.0,0,0.8255,0.04040691518457606,3840000,404069151
vdb_random-100-match-kw-small-vocab-no-filters,120,32,400,0.0,0,0.91646,0.056690884474664915,3840000,566908844
vdb_random-100-match-kw-small-vocab-no-filters,120,32,600,0.0,0,0.9469100000000003,0.07509027894120661,3840000,750902789
vdb_random-100-match-kw-small-vocab-no-filters,200,4,100,0.0,0,0.08392000000000001,0.002338321064598856,800000,23383210
vdb_random-100-match-kw-small-vocab-no-filters,200,4,200,0.0,0,0.1255,0.0024398756446316833,800000,24398756
vdb_random-100-match-kw-small-vocab-no-filters,200,4,400,0.0,0,0.18012000000000003,0.002984317450318482,800000,29843174
vdb_random-100-match-kw-small-vocab-no-filters,200,4,600,0.0,0,0.21526000000000003,0.0034883146057836712,800000,34883146
vdb_random-100-match-kw-small-vocab-no-filters,200,8,100,0.0,0,0.32829,0.0038504030555486677,1600000,38504030
vdb_random-100-match-kw-small-vocab-no-filters,200,8,200,0.0,0,0.48691999999999996,0.005297064059413968,1600000,52970640
vdb_random-100-match-kw-small-vocab-no-filters,200,8,400,0.0,0,0.60169,0.006282277952413996,1600000,62822779
vdb_random-100-match-kw-small-vocab-no-filters,200,8,600,0.0,0,0.6662100000000001,0.0068511395831592275,1600000,68511395
vdb_random-100-match-kw-small-vocab-no-filters,200,16,100,0.0,0,0.55284,0.025777052110061035,3200000,257770521
vdb_random-100-match-kw-small-vocab-no-filters,200,16,200,0.0,0,0.68668,0.029408796585630625,3200000,294087965
