FileName,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts
vdb_glove-100-angular,IVF_SQ8,64,459,914,6934,29,4,3,174,1346,False,False,4304,7775717077,7724,83,0.0,0,0.9823729999999999,0.02124877427704632,4375206,212487742
vdb_glove-100-angular,SCANN,6,410,614,7165,95,1,1,259,3823,True,False,94198,291481116,2555,53,0.0,0,0.966775,0.0049364412901923005,2817,49364412
vdb_glove-100-angular,AUTOINDEX,48,255,210,6451,97,4,9,843,3300,False,True,9799,4719142297,2240,20,0.0,0,0.8453310000000002,0.004151448723860082,1087894,41514487
vdb_glove-100-angular,AUTOINDEX,49,355,900,3695,94,1,5,801,9283,False,True,17951,9214193848,2693,42,0.0,0,0.846403,0.00368652602192014,1087894,36865260
vdb_glove-100-angular,FLAT,39,373,783,4599,21,1,6,585,2204,False,True,64921,9969745268,8266,34,0.0,0,0.999999,0.04207604012917727,1087894,420760401
vdb_glove-100-angular,IVF_FLAT,44,488,391,9335,74,64,5,589,668,False,True,28893,5604039179,7168,82,0.0,0,0.999991,0.03335977457463741,15030130,333597745
vdb_glove-100-angular,AUTOINDEX,24,118,528,861,91,128,7,774,9165,False,True,92338,3020397689,4844,4,0.0,0,0.843959,0.00407230721320957,1087894,40723072
vdb_glove-100-angular,FLAT,63,362,687,7792,47,2,3,749,2302,True,True,24453,6907477160,9732,97,0.0,0,0.999999,0.04258898454718292,1087894,425889845
vdb_glove-100-angular,FLAT,48,195,986,3057,33,4,3,747,4414,False,True,25768,6422703374,4809,70,0.0,0,0.999999,0.04204110335558652,1087894,420411033
vdb_glove-100-angular,IVF_SQ8,21,277,485,5828,67,8,2,144,1862,True,True,45704,8714586409,4868,40,0.0,0,0.984977,0.04996941382996738,8495932,499694138
vdb_glove-100-angular,SCANN,60,506,902,4118,73,64,9,610,6743,False,False,50675,5646038838,8958,76,0.0,0,0.9937520000000001,0.005086696776561438,6636,50866967
vdb_glove-100-angular,FLAT,22,295,347,3171,68,1,8,697,4661,False,False,99204,579366781,8320,50,0.0,0,0.999999,0.04216867829672992,1087894,421686782
vdb_glove-100-angular,IVF_FLAT,61,129,629,3966,14,8,6,339,8404,False,False,38135,4745276384,2893,73,0.0,0,0.973914,0.009452983574010431,1208084,94529835
vdb_glove-100-angular,HNSW,38,41,937,1826,67,1,1,976,858,False,True,85546,2790672881,4885,53,0.0,0,0.983302,0.00870371558703482,1694939,87037155
vdb_glove-100-angular,AUTOINDEX,17,262,880,4148,53,4,3,636,9147,False,False,6962,6524753036,5689,53,0.0,0,0.846096,0.003952746093273156,1087894,39527460
vdb_glove-100-angular,HNSW,58,335,688,7202,33,1,3,988,7101,False,True,46197,6520384152,1859,22,0.0,0,0.9968819999999999,0.009766248008236287,21137786,97662480
vdb_glove-100-angular,SCANN,23,468,208,5471,60,4,8,919,7572,True,True,26404,2516206595,8514,62,0.0,0,0.9977140000000001,0.005353868496604263,9997,53538684
vdb_glove-100-angular,FLAT,5,137,595,2086,18,128,6,373,6077,False,False,98399,2460208633,5755,48,0.0,0,0.999999,0.042054677638225256,1087894,420546776
vdb_glove-100-angular,IVF_SQ8,44,233,599,4941,55,8,7,876,5879,True,False,59707,7700514087,2014,39,0.0,0,0.98454,0.042213433585129675,5912814,422134335
vdb_glove-100-angular,HNSW,22,440,427,8871,33,128,6,762,7447,False,False,43741,4854018196,1662,44,0.0,0,0.971707,0.005593758868053554,10530816,55937588
vdb_glove-100-angular,IVF_SQ8,33,450,398,1495,8,8,1,937,3046,False,True,27226,7043126249,2709,92,0.0,0,0.9210220000000001,0.009709385549649594,260224,97093855
vdb_glove-100-angular,FLAT,56,304,140,1979,24,2,5,367,4320,True,True,49017,4773980131,6588,77,0.0,0,0.999999,0.04240111233666539,1087894,424011123
vdb_glove-100-angular,SCANN,46,261,514,3613,74,2,4,614,2067,True,True,22870,964654267,4507,63,0.0,0,0.994268,0.004970259615220129,6679,49702596
vdb_glove-100-angular,IVF_SQ8,59,42,583,9830,36,64,8,102,1375,False,False,56168,5344000312,4097,58,0.0,0,0.983591,0.03186675391625613,7699680,318667539
vdb_glove-100-angular,AUTOINDEX,42,31,429,447,15,32,1,929,7392,True,False,30870,7498137771,6216,25,0.0,0,0.8452639999999999,0.0034534861566498857,1087894,34534861
vdb_glove-100-angular,FLAT,63,452,167,8907,52,4,9,398,3179,False,False,24351,1589160516,4474,25,0.0,0,0.999999,0.042782722413539885,1087894,427827224
vdb_glove-100-angular,IVF_SQ8,41,262,269,1306,13,32,10,792,6904,True,True,43328,8258023329,9032,98,0.0,0,0.9463790000000001,0.012707104999572038,369405,127071049
vdb_glove-100-angular,SCANN,62,431,472,4635,33,4,3,247,6938,False,False,45093,7002767722,9114,62,0.0,0,0.964435,0.0046686083544045685,2687,46686083
vdb_glove-100-angular,HNSW,7,458,277,2398,40,128,9,194,8588,False,False,90481,8490348149,9399,47,0.0,0,0.8239119999999999,0.003924981271848076,3487789,39249812
vdb_glove-100-angular,IVF_FLAT,10,325,405,3271,26,16,3,110,8284,False,True,31704,8406536736,7448,96,0.0,0,0.990389,0.013236386887729167,1850421,132363868
vdb_glove-100-angular,SCANN,43,417,386,1866,34,1,8,712,3149,False,True,22479,9072351376,8057,88,0.0,0,0.996057,0.005348038091324263,7745,53480380
vdb_glove-100-angular,IVF_FLAT,54,185,689,7200,46,32,5,606,1599,True,True,51764,731838909,252,53,0.0,0,0.999166,0.021282328548841177,7206211,212823285
vdb_glove-100-angular,IVF_FLAT,60,56,137,893,37,2,2,613,147,False,False,70928,9248996913,9484,12,0.0,0,0.9586989999999997,0.016120937257073815,718902,161209372
vdb_glove-100-angular,AUTOINDEX,40,459,932,9348,22,32,8,520,3427,True,True,18243,2514198960,3485,78,0.0,0,0.8219060000000001,0.003488518274389206,1087894,34885182
vdb_glove-100-angular,SCANN,9,226,231,3177,45,16,9,714,4551,False,False,12080,9947803096,7136,91,0.0,0,0.99577,0.005327988369390363,7767,53279883
vdb_glove-100-angular,IVF_SQ8,40,102,349,7086,72,8,2,837,245,False,True,91231,580473535,9707,83,0.0,0,0.984978,0.054176178923808035,11100699,541761789
vdb_glove-100-angular,AUTOINDEX,15,404,246,8052,69,8,5,140,2832,True,False,78209,3028841508,2657,92,0.0,0,0.8486299999999999,0.003571282047778365,1087894,35712820
vdb_glove-100-angular,IVF_SQ8,26,481,618,3282,91,128,2,444,8942,False,True,44545,3675478208,5345,46,0.0,0,0.984734,0.06451886827126145,6498253,645188682
vdb_glove-100-angular,IVF_FLAT,10,172,943,8404,50,4,4,294,9542,False,True,47723,1726785709,6228,90,0.0,0,0.9996400000000002,0.023455425095744428,9142663,234554250
vdb_glove-100-angular,AUTOINDEX,20,237,161,2653,91,16,3,768,2872,True,False,93959,9670127925,411,10,0.0,0,0.847743,0.003255483973771333,1087894,32554839
vdb_glove-100-angular,SCANN,30,324,662,6064,37,4,6,431,6588,True,False,57451,3407599192,4381,97,0.0,0,0.986368,0.005100044189020981,4688,51000441
vdb_glove-100-angular,IVF_PQ,5,205,758,3165,77,4,6,991,4578,False,True,84088,1397610744,310,90,0.0,0,0.158225,0.01027605461422354,5302505,102760546
vdb_glove-100-angular,HNSW,12,114,298,8586,82,4,9,715,2379,False,True,11550,5275737902,6327,93,0.0,0,0.8835369999999999,0.0039278950542211526,1488239,39278950
vdb_glove-100-angular,SCANN,38,231,369,9135,26,16,3,948,4068,True,False,51554,8228847849,4221,56,0.0,0,0.998132,0.005410226946696638,10313,54102269
vdb_glove-100-angular,HNSW,24,282,886,5822,73,4,9,221,4474,True,True,50902,6584214472,2982,76,0.0,0,0.9921190000000001,0.008470438420772552,7362868,84704384
vdb_glove-100-angular,IVF_PQ,18,479,311,1853,69,4,8,508,1678,True,True,26119,9494561395,8661,13,0.0,0,0.176382,0.008314091898500919,2781898,83140918
vdb_glove-100-angular,HNSW,11,189,466,6857,63,16,6,241,6662,True,False,53542,83402866,5048,49,0.0,0,0.914326,0.004757705959491425,2261732,47577059
vdb_glove-100-angular,SCANN,10,11,907,2558,7,2,2,996,8945,False,False,55177,2248897718,5483,83,0.0,0,0.998343,0.005300397099927066,10835,53003970
vdb_glove-100-angular,IVF_SQ8,15,470,329,4342,74,2,1,921,6723,True,True,52185,5552362420,2990,8,0.0,0,0.984741,0.05421650395728648,6990982,542165039
vdb_glove-100-angular,IVF_SQ8,60,120,448,8953,65,64,7,814,7755,False,False,71123,2939423840,6550,9,0.0,0,0.9851040000000001,0.05023407968692482,12661892,502340796
vdb_glove-100-angular,IVF_SQ8,11,162,116,7962,29,32,5,810,8221,False,False,96200,5202569614,2669,67,0.0,0,0.983032,0.023011200083419676,5023852,230112000
vdb_glove-100-angular,IVF_SQ8,53,382,733,4970,80,4,9,497,7582,False,True,33875,3185295244,5885,34,0.0,0,0.9848290000000001,0.05817382007371634,8650935,581738200
vdb_glove-100-angular,IVF_SQ8,34,340,610,1610,39,2,8,475,6610,False,True,79224,9857305653,511,63,0.0,0,0.981284,0.02907154890708625,1366177,290715489
vdb_glove-100-angular,SCANN,27,331,367,5069,70,8,9,757,5306,True,True,39094,8370793693,2342,30,0.0,0,0.9965289999999999,0.005221757083199916,8235,52217570
vdb_glove-100-angular,FLAT,13,53,274,2533,40,4,6,704,9497,False,False,34016,8161420320,2724,62,0.0,0,0.999999,0.04170704318676144,1087894,417070431
vdb_glove-100-angular,AUTOINDEX,31,362,542,6885,31,64,1,255,1217,False,True,82830,2123110555,6996,78,0.0,0,0.849743,0.00343984859064221,1087894,34398485
vdb_glove-100-angular,HNSW,24,41,197,5974,92,128,7,504,7045,True,False,13923,9065418001,2938,8,0.0,0,0.8855779999999999,0.004077100381255149,1070487,40771003
vdb_glove-100-angular,FLAT,23,41,827,2368,40,32,2,904,6429,True,False,84657,7214173586,5206,43,0.0,0,0.999999,0.042171105300076304,1087894,421711053
vdb_glove-100-angular,IVF_SQ8,55,454,444,2389,64,1,6,854,4084,True,False,97388,2432446448,7790,71,0.0,0,0.984419,0.026728408061899227,3326693,267284080
vdb_glove-100-angular,AUTOINDEX,25,143,675,7435,15,4,2,239,6442,True,False,33647,2070474494,3202,76,0.0,0,0.8455790000000001,0.003396646282635627,1087894,33966462
vdb_glove-100-angular,HNSW,41,200,407,9357,71,2,6,215,8164,False,True,31768,4027688191,598,28,0.0,0,0.9802489999999999,0.006208645878359673,8920733,62086458
vdb_glove-100-angular,FLAT,34,384,264,3594,10,32,2,285,4975,True,False,97534,202313437,4135,93,0.0,0,0.999999,0.0419860492227599,1087894,419860492
vdb_glove-100-angular,SCANN,20,295,539,1528,5,2,8,247,3862,False,False,32460,5541662829,1828,44,0.0,0,0.964742,0.004461901867762196,2687,44619018
vdb_glove-100-angular,IVF_FLAT,4,138,104,3853,89,128,9,321,8446,False,True,57339,3298897977,2227,10,0.0,0,0.999993,0.030565961054526254,7461148,305659610
vdb_glove-100-angular,FLAT,61,451,785,6069,82,128,4,979,7680,False,True,80257,8373516374,7777,61,0.0,0,0.8305470000000001,0.04595194477587938,1087894,459519447
vdb_glove-100-angular,SCANN,36,469,654,3132,82,32,4,948,1500,True,False,8218,1294336347,740,22,0.0,0,0.997875,0.005545939924195408,10313,55459399
vdb_glove-100-angular,FLAT,58,264,249,273,91,4,4,223,5186,False,False,16085,2064534585,9002,73,0.0,0,0.999999,0.042489278805442156,1087894,424892788
vdb_glove-100-angular,HNSW,15,493,424,3895,6,2,9,644,8928,True,False,53287,2259037855,1186,56,0.0,0,0.9486889999999999,0.005335549078881737,8044978,53355490
vdb_glove-100-angular,SCANN,20,455,882,9643,4,128,3,536,7016,True,True,53474,3051414822,9053,71,0.0,0,0.992351,0.004909271607175467,5831,49092716
vdb_glove-100-angular,IVF_SQ8,42,49,665,4414,90,32,2,932,2927,True,False,72450,2496810941,7224,8,0.0,0,0.984877,0.06435310794040561,8643537,643531079
vdb_glove-100-angular,IVF_FLAT,62,260,836,1139,48,16,4,344,6878,False,True,81431,5234620972,6000,15,0.0,0,0.9966950000000001,0.020742635778151452,1189547,207426357
vdb_glove-100-angular,HNSW,36,213,412,1234,36,32,9,461,8940,True,True,29764,402676962,6535,26,0.0,0,0.978886,0.0060578714124858365,8341973,60578714
vdb_glove-100-angular,IVF_SQ8,37,376,217,2278,22,16,8,596,3135,False,False,82160,4516031461,9092,68,0.0,0,0.9730040000000001,0.015951314917765556,1090418,159513149
vdb_glove-100-angular,IVF_PQ,46,479,538,2374,60,1,6,930,9881,True,False,9207,1441369730,1916,82,0.0,0,0.084428,0.008537804498337208,3099193,85378044
vdb_glove-100-angular,AUTOINDEX,30,276,622,8798,2,64,2,877,6033,True,True,80916,6324199965,6814,50,0.0,0,0.846504,0.003570592333562671,1087894,35705923
vdb_glove-100-angular,SCANN,47,402,316,9292,81,8,5,450,3960,False,True,21819,1418532059,4196,88,0.0,0,0.988642,0.005302391527220604,4895,53023915
vdb_glove-100-angular,HNSW,59,299,601,214,81,64,3,425,3518,False,True,68289,1597827436,8672,43,0.0,0,0.9950880000000001,0.00909969296772033,19191543,90996929
vdb_glove-100-angular,IVF_FLAT,20,162,737,3797,62,1,6,689,4186,False,False,96374,2194766823,303,7,0.0,0,0.9996219999999999,0.026504761935211715,5122110,265047619
vdb_glove-100-angular,IVF_FLAT,24,152,528,2772,51,8,3,608,8386,False,False,47404,3168109426,804,52,0.0,0,0.9985970000000001,0.021630905126221477,3075955,216309051
vdb_glove-100-angular,HNSW,24,429,484,3419,8,32,9,541,5470,True,True,33412,2553090555,388,29,0.0,0,0.9785290000000001,0.0061426685890182825,11200959,61426685
vdb_glove-100-angular,IVF_PQ,13,493,461,3285,6,1,2,229,5883,True,True,36868,3392154209,9390,88,0.0,0,0.077955,0.003578563220798968,428847,35785632
vdb_glove-100-angular,SCANN,52,147,698,6367,3,8,7,314,2258,True,False,36811,8184940790,9042,16,0.0,0,0.977082,0.005126118985936044,3415,51261189
