FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,index_type,M,efConstruction,ef,nlist,nprobe,m,nbits,reorder_k,dataCoord*segment*maxSize,queryCoord*autoHandoff,queryCoord*autoBalance,common*gracefulTime,dataNode*segment*insertBufSize,rootCoord*minSegmentSizeToEnableIndex,dataCoord*segment*sealProportion,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,AUTOINDEX,15,115,115,4599,11,128,5,914,577,False,True,6014,2939716186,5057,73,0.0,0,0.2500199999999999,0.0203754601767286,1000000,203754601,2,20376,203.75460176728598
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,HNSW,7,185,969,2291,23,32,3,910,5072,True,False,60770,653962823,1551,65,0.0,0,0.6843799999999999,0.0079930512001737,1295000,79930512,2,7994,79.930512001737
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_FLAT,40,343,834,1212,85,8,3,186,7614,False,True,20600,364941409,9698,4,0.0,0,0.9990599999999998,0.0652393582742661,2060400,652393582,3,65240,652.3935827426609
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_SQ8,44,254,274,9003,60,64,8,743,5402,True,False,17374,8506611447,7741,69,0.0,0,0.97532,0.0488813518546521,10803600,488813518,11,48882,488.81351854652104
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_FLAT,20,508,149,7587,67,64,9,730,2213,True,True,23165,5866726457,4548,59,0.0,0,0.99997,0.0817398804705589,10166580,817398804,11,81740,817.398804705589
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,FLAT,52,133,581,426,82,64,7,163,2495,False,False,64105,4282737806,9687,14,0.0,0,0.99997,0.0922481735469773,1000000,922481735,2,92249,922.481735469773
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_FLAT,64,91,268,2602,4,2,4,429,4249,False,False,65647,1763718294,9673,85,0.0,0,0.4629799999999999,0.019110862747766,208160,191108627,1,19111,191.10862747766
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,HNSW,62,31,317,2079,82,2,9,364,2777,False,False,96373,4743825640,3016,9,0.0,0,0.8784700000000001,0.0302959622815251,1922000,302959622,2,30296,302.959622815251
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,AUTOINDEX,45,175,846,2818,88,1,2,386,403,True,True,97317,8756366287,7872,19,0.0,0,0.25061,0.0211785416584461,1000000,211785416,2,21179,211.785416584461
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,SCANN,8,242,510,170,14,4,2,998,984,True,False,62877,6166757600,5301,61,0.0,0,0.49223,0.0030456898966804,9980,30456898,1,3046,30.456898966803998
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,HNSW,50,123,440,6056,92,128,7,348,4011,True,False,91601,7400799715,6285,86,0.0,0,0.95883,0.0820253732847049,6150000,820253732,7,82026,820.2537328470489
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,HNSW,36,423,794,6714,64,1,3,472,6366,False,False,10871,2996719944,361,49,0.0,0,0.92208,0.0145243939245119,15228000,145243939,16,14525,145.24393924511898
vdb_random-100-match-kw-small-vocab-no-filters,1000000.0,256.0,43.23654372151132,7.7945451736450195,10.403764724731444,0.3438114821910858,10000.0,0.9198555946350098,0.9468914866447448,0.9368261694908142,0.0037858658470213,IVF_PQ,4,22,494,9455,33,4,6,366,6758,True,False,37686,1622130137,2487,68,0.0,0,0.07542,0.0344829113222657,6240300,344829113,7,34483,344.829113222657
