FileName,SIZE,DIM,LID,Sum_K_MinDist,Sum_K_MaxDist,Sum_K_StdDist,q_SIZE,q_K_MinRatio,q_K_MaxRatio,q_K_MeanRatio,q_K_StdRatio,efConstruction,M,efSearch,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts,average_construct_dc_counts,average_search_dc_counts,whole_search_time
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,4,100,0.0,0,0.337038,0.0031274151522666,87031,31274151,1,3128,31.274151522666
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,4,200,0.0,0,0.406344,0.0031730123795568,87031,31730123,1,3174,31.730123795567998
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,4,400,0.0,0,0.47307,0.0036441766889765,87031,36441766,1,3645,36.441766889765
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,4,600,0.0,0,0.5048590000000001,0.0044902248075231,87031,44902248,1,4491,44.902248075231
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,8,100,0.0,0,0.5566399999999999,0.0032824451802298,174063,32824451,1,3283,32.824451802298
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,8,400,0.0,0,0.70311,0.0040804610820487,174063,40804610,1,4081,40.804610820487
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,8,600,0.0,0,0.7437050000000001,0.0046629665652289,174063,46629665,1,4663,46.629665652289006
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,16,100,0.0,0,0.7299869999999999,0.0043285777093842,348126,43285777,1,4329,43.285777093842
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,16,200,0.0,0,0.792358,0.004053241526708,348126,40532415,1,4054,40.53241526708
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,20,16,600,0.0,0,0.8250220000000001,0.0045529200462624,348126,45529200,1,4553,45.529200462624004
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,4,100,0.0,0,0.4209309999999999,0.0032471841666847,174063,32471841,1,3248,32.471841666847
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,4,200,0.0,0,0.509049,0.0034059338271617,174063,34059338,1,3406,34.059338271617
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,4,400,0.0,0,0.575149,0.0035737355006858,174063,35737355,1,3574,35.737355006857996
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,4,600,0.0,0,0.6146860000000001,0.0046261397656053,174063,46261397,1,4627,46.261397656053
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,8,100,0.0,0,0.6603020000000001,0.0034665751038119,348126,34665751,1,3467,34.665751038119
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,8,200,0.0,0,0.738439,0.0037649791222065,348126,37649791,1,3765,37.649791222065
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,8,400,0.0,0,0.797111,0.0042750823544338,348126,42750823,1,4276,42.750823544338004
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,8,600,0.0,0,0.833909,0.0049300896469503,348126,49300896,1,4931,49.300896469503
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,16,100,0.0,0,0.758074,0.0032921239268034,696252,32921239,1,3293,32.921239268034
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,16,200,0.0,0,0.82491,0.0041530840098857,696252,41530840,1,4154,41.530840098857006
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,16,400,0.0,0,0.885574,0.0043320694006979,696252,43320694,1,4333,43.320694006979004
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,16,600,0.0,0,0.902669,0.0050055483588948,696252,50055483,1,5006,50.05548358894799
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,32,100,0.0,0,0.8473799999999999,0.003563451161608,1392504,35634511,2,3564,35.63451161608
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,32,200,0.0,0,0.90114,0.0042511476436629,1392504,42511476,2,4252,42.511476436629
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,32,400,0.0,0,0.946995,0.005501629365608,1392504,55016293,2,5502,55.016293656079995
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,40,32,600,0.0,0,0.964804,0.0065931663382798,1392504,65931663,2,6594,65.931663382798
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,4,100,0.0,0,0.4943700000000001,0.0027615920873358,348126,27615920,1,2762,27.615920873357997
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,4,200,0.0,0,0.5779139999999999,0.0033383161295205,348126,33383161,1,3339,33.383161295205
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,4,400,0.0,0,0.647958,0.0038185634417459,348126,38185634,1,3819,38.185634417459
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,4,600,0.0,0,0.6843889999999999,0.0045248750364407,348126,45248750,1,4525,45.248750364406995
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,8,100,0.0,0,0.713464,0.0032670158892869,696252,32670158,1,3268,32.670158892869
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,8,200,0.0,0,0.78805,0.0037658593151718,696252,37658593,1,3766,37.658593151718
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,8,400,0.0,0,0.8446880000000001,0.0043868584791198,696252,43868584,1,4387,43.868584791197996
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,8,600,0.0,0,0.8692960000000001,0.0052721209591254,696252,52721209,1,5273,52.721209591253995
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,16,100,0.0,0,0.80896,0.0030842532636597,1392504,30842532,2,3085,30.842532636597
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,16,200,0.0,0,0.867445,0.0044143757317215,1392504,44143757,2,4415,44.143757317215
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,16,400,0.0,0,0.917166,0.0050589991966262,1392504,50589991,2,5059,50.589991966262005
vdb_glove-100-angular,1183514.0,100.0,18.06556935697604,2.538027763366699,12.411911964416504,1.4168413877487185,10000.0,0.442644327878952,0.917720377445221,0.8476809859275818,0.0570858754217624,80,16,600,0.0,0,0.939296,0.0058423922630026,1392504,58423922,2,5843,58.423922630026
