FileName,efConstruction,M,efSearch,construction_time,memory,recall,search_time,construct_dc_counts,search_dc_counts
msong_0_9.92272_420,20,4,10,15.1027,1921,0.27,0.0000636,264366654,28460
msong_0_9.92272_420,20,4,15,15.1027,1921,0.3435,0.0000739,264366654,34047
msong_0_9.92272_420,20,4,20,15.1027,1921,0.396,0.0000879,264366654,39572
msong_0_9.92272_420,20,4,25,15.1027,1921,0.436,0.000101975,264366654,44932
msong_0_9.92272_420,20,4,30,15.1027,1921,0.476,0.00011658,264366654,49915
msong_0_9.92272_420,20,4,35,15.1027,1921,0.4935,0.000126965,264366654,53775
msong_0_9.92272_420,20,4,40,15.1027,1921,0.522,0.000137215,264366654,58115
msong_0_9.92272_420,20,4,45,15.1027,1921,0.535,0.000148665,264366654,61951
msong_0_9.92272_420,20,4,50,15.1027,1921,0.551,0.00016221,264366654,66327
msong_0_9.92272_420,20,4,60,15.1027,1921,0.587,0.00018497,264366654,74865
msong_0_9.92272_420,20,4,70,15.1027,1921,0.6145,0.000207125,264366654,82714
msong_0_9.92272_420,20,4,80,15.1027,1921,0.6255,0.000235975,264366654,89888
msong_0_9.92272_420,20,4,90,15.1027,1921,0.645,0.00025037,264366654,98173
msong_0_9.92272_420,20,4,100,15.1027,1921,0.6575,0.00026944,264366654,105793
msong_0_9.92272_420,20,4,120,15.1027,1921,0.681,0.000312085,264366654,120262
msong_0_9.92272_420,20,4,140,15.1027,1921,0.6935,0.000351005,264366654,134416
msong_0_9.92272_420,20,4,160,15.1027,1921,0.714,0.00039066,264366654,149920
msong_0_9.92272_420,20,4,180,15.1027,1921,0.724,0.000593945,264366654,163790
msong_0_9.92272_420,20,4,200,15.1027,1921,0.736,0.00058534,264366654,177739
msong_0_9.92272_420,20,4,220,15.1027,1921,0.7455,0.00052154,264366654,191507
msong_0_9.92272_420,20,4,240,15.1027,1921,0.7535,0.000567375,264366654,205379
msong_0_9.92272_420,20,4,260,15.1027,1921,0.7625,0.000611585,264366654,218958
msong_0_9.92272_420,20,4,280,15.1027,1921,0.771,0.00070299,264366654,231802
msong_0_9.92272_420,20,4,300,15.1027,1921,0.779,0.00102088,264366654,245046
msong_0_9.92272_420,20,4,320,15.1027,1921,0.7875,0.00071623,264366654,258228
msong_0_9.92272_420,20,4,340,15.1027,1921,0.792,0.00089701,264366654,271000
msong_0_9.92272_420,20,4,360,15.1027,1921,0.7945,0.000994265,264366654,283736
msong_0_9.92272_420,20,4,380,15.1027,1921,0.801,0.0015451,264366654,296723
msong_0_9.92272_420,20,4,400,15.1027,1921,0.804,0.00107225,264366654,309634
msong_0_9.92272_420,20,4,420,15.1027,1921,0.8075,0.00103498,264366654,322051
msong_0_9.92272_420,20,4,440,15.1027,1921,0.8145,0.00149868,264366654,334365
msong_0_9.92272_420,20,4,460,15.1027,1921,0.8205,0.00125831,264366654,346810
msong_0_9.92272_420,20,4,480,15.1027,1921,0.8225,0.00113554,264366654,358910
msong_0_9.92272_420,20,4,500,15.1027,1921,0.828,0.00162919,264366654,370785
msong_0_9.92272_420,20,4,520,15.1027,1921,0.8315,0.00134693,264366654,382845
msong_0_9.92272_420,20,4,540,15.1027,1921,0.835,0.00120749,264366654,395137
msong_0_9.92272_420,20,4,560,15.1027,1921,0.838,0.00189543,264366654,406968
msong_0_9.92272_420,20,4,580,15.1027,1921,0.8395,0.00129848,264366654,418689
msong_0_9.92272_420,20,4,600,15.1027,1921,0.84,0.00153775,264366654,430627
msong_0_9.92272_420,20,4,620,15.1027,1921,0.8455,0.00159451,264366654,442982
msong_0_9.92272_420,20,4,640,15.1027,1921,0.8475,0.00141382,264366654,454680
msong_0_9.92272_420,20,4,660,15.1027,1921,0.849,0.00143067,264366654,466706
msong_0_9.92272_420,20,4,680,15.1027,1921,0.85,0.00143654,264366654,478086
msong_0_9.92272_420,20,4,700,15.1027,1921,0.851,0.00203357,264366654,489622
msong_0_9.92272_420,20,4,730,15.1027,1921,0.8545,0.00166914,264366654,507241
msong_0_9.92272_420,20,4,760,15.1027,1921,0.8575,0.00221703,264366654,524154
msong_0_9.92272_420,20,4,790,15.1027,1921,0.8595,0.00160123,264366654,541339
msong_0_9.92272_420,20,4,820,15.1027,1921,0.8625,0.00195267,264366654,558564
msong_0_9.92272_420,20,4,850,15.1027,1921,0.8645,0.00157772,264366654,575756
msong_0_9.92272_420,20,4,880,15.1027,1921,0.8675,0.00208577,264366654,592303
msong_0_9.92272_420,20,4,910,15.1027,1921,0.868,0.00186303,264366654,609148
msong_0_9.92272_420,20,4,940,15.1027,1921,0.8695,0.00207443,264366654,626306
msong_0_9.92272_420,20,4,970,15.1027,1921,0.871,0.00200664,264366654,642753
msong_0_9.92272_420,20,4,1000,15.1027,1921,0.873,0.00198296,264366654,659230
msong_0_9.92272_420,20,4,1100,15.1027,1921,0.876,0.00213737,264366654,713624
msong_0_9.92272_420,20,4,1200,15.1027,1921,0.878,0.00225133,264366654,767570
msong_0_9.92272_420,20,4,1300,15.1027,1921,0.8825,0.00247798,264366654,820947
msong_0_9.92272_420,20,4,1400,15.1027,1921,0.886,0.00285909,264366654,874397
msong_0_9.92272_420,20,4,1500,15.1027,1921,0.89,0.00286695,264366654,926131
msong_0_9.92272_420,20,4,1600,15.1027,1921,0.8935,0.00291119,264366654,977695
msong_0_9.92272_420,20,4,1700,15.1027,1921,0.894,0.00324774,264366654,1029173
msong_0_9.92272_420,20,4,1800,15.1027,1921,0.8955,0.00343193,264366654,1079862
msong_0_9.92272_420,20,4,1900,15.1027,1921,0.897,0.00360517,264366654,1130224
msong_0_9.92272_420,20,4,2000,15.1027,1921,0.8985,0.00365617,264366654,1179511
msong_0_9.92272_420,20,4,2100,15.1027,1921,0.9015,0.00370568,264366654,1229318
msong_0_9.92272_420,20,4,2200,15.1027,1921,0.9025,0.00397955,264366654,1278864
msong_0_9.92272_420,20,4,2300,15.1027,1921,0.904,0.00417394,264366654,1327220
msong_0_9.92272_420,20,4,2400,15.1027,1921,0.9055,0.00435759,264366654,1375464
msong_0_9.92272_420,20,4,2500,15.1027,1921,0.906,0.00459394,264366654,1424069
msong_0_9.92272_420,20,4,2600,15.1027,1921,0.9065,0.00468196,264366654,1471710
msong_0_9.92272_420,20,4,2700,15.1027,1921,0.907,0.00461893,264366654,1518700
msong_0_9.92272_420,20,4,2800,15.1027,1921,0.9075,0.00476336,264366654,1566156
msong_0_9.92272_420,20,4,2900,15.1027,1921,0.909,0.00496266,264366654,1613283
msong_0_9.92272_420,20,4,3000,15.1027,1921,0.9095,0.00538549,264366654,1660037
msong_0_9.92272_420,20,4,3100,15.1027,1921,0.9105,0.00538629,264366654,1705977
msong_0_9.92272_420,20,4,3200,15.1027,1921,0.9105,0.00544788,264366654,1752088
msong_0_9.92272_420,20,4,3300,15.1027,1921,0.9115,0.00539589,264366654,1798240
msong_0_9.92272_420,20,4,3400,15.1027,1921,0.912,0.00542801,264366654,1844182
msong_0_9.92272_420,20,4,3500,15.1027,1921,0.9125,0.00587133,264366654,1889916
msong_0_9.92272_420,20,4,3600,15.1027,1921,0.9135,0.00627274,264366654,1935329
msong_0_9.92272_420,20,4,3700,15.1027,1921,0.9145,0.00646958,264366654,1980759
msong_0_9.92272_420,20,4,3800,15.1027,1921,0.9145,0.00635643,264366654,2025083
msong_0_9.92272_420,20,4,3900,15.1027,1921,0.9145,0.0063206,264366654,2069556
msong_0_9.92272_420,20,4,4000,15.1027,1921,0.915,0.00649892,264366654,2114273
msong_0_9.92272_420,20,4,4100,15.1027,1921,0.915,0.00695651,264366654,2158595
msong_0_9.92272_420,20,4,4200,15.1027,1921,0.915,0.00712436,264366654,2202649
msong_0_9.92272_420,20,4,4300,15.1027,1921,0.915,0.00719857,264366654,2246701
msong_0_9.92272_420,20,4,4400,15.1027,1921,0.9155,0.00686237,264366654,2290337
msong_0_9.92272_420,20,4,4500,15.1027,1921,0.917,0.00798278,264366654,2333829
msong_0_9.92272_420,20,4,4600,15.1027,1921,0.917,0.00781916,264366654,2377357
msong_0_9.92272_420,20,4,4700,15.1027,1921,0.917,0.0077202,264366654,2421429
msong_0_9.92272_420,20,4,4800,15.1027,1921,0.9175,0.00759233,264366654,2464526
msong_0_9.92272_420,20,4,4900,15.1027,1921,0.918,0.00829042,264366654,2507551
msong_0_9.92272_420,20,4,5000,15.1027,1921,0.918,0.00854045,264366654,2550700
msong_0_9.92272_420,20,8,10,21.243,1952,0.4935,0.000113165,375525120,41476
msong_0_9.92272_420,20,8,15,21.243,1952,0.5695,0.000114065,375525120,49845
msong_0_9.92272_420,20,8,20,21.243,1952,0.6445,0.00013499,375525120,58336
msong_0_9.92272_420,20,8,25,21.243,1952,0.685,0.00015472,375525120,65038
msong_0_9.92272_420,20,8,30,21.243,1952,0.7165,0.00017289,375525120,72654
msong_0_9.92272_420,20,8,35,21.243,1952,0.7435,0.000189385,375525120,78908
msong_0_9.92272_420,20,8,40,21.243,1952,0.764,0.000208525,375525120,85469
msong_0_9.92272_420,20,8,45,21.243,1952,0.7815,0.000232085,375525120,91983
msong_0_9.92272_420,20,8,50,21.243,1952,0.795,0.00024466,375525120,98623
msong_0_9.92272_420,20,8,60,21.243,1952,0.8175,0.000282185,375525120,111573
msong_0_9.92272_420,20,8,70,21.243,1952,0.8325,0.00031235,375525120,123668
msong_0_9.92272_420,20,8,80,21.243,1952,0.8495,0.00034644,375525120,135973
msong_0_9.92272_420,20,8,90,21.243,1952,0.8575,0.000379395,375525120,147802
msong_0_9.92272_420,20,8,100,21.243,1952,0.8685,0.000423105,375525120,159487
msong_0_9.92272_420,20,8,120,21.243,1952,0.8815,0.00068321,375525120,182083
msong_0_9.92272_420,20,8,140,21.243,1952,0.895,0.000830935,375525120,204602
msong_0_9.92272_420,20,8,160,21.243,1952,0.9025,0.000683505,375525120,226550
msong_0_9.92272_420,20,8,180,21.243,1952,0.908,0.000749835,375525120,248038
msong_0_9.92272_420,20,8,200,21.243,1952,0.914,0.000789735,375525120,269104
msong_0_9.92272_420,20,8,220,21.243,1952,0.9165,0.00122761,375525120,290047
msong_0_9.92272_420,20,8,240,21.243,1952,0.9225,0.00113511,375525120,310582
msong_0_9.92272_420,20,8,260,21.243,1952,0.927,0.00095425,375525120,330591
msong_0_9.92272_420,20,8,280,21.243,1952,0.931,0.00106475,375525120,350345
msong_0_9.92272_420,20,8,300,21.243,1952,0.934,0.0012417,375525120,369383
msong_0_9.92272_420,20,8,320,21.243,1952,0.9375,0.00114345,375525120,388712
msong_0_9.92272_420,20,8,340,21.243,1952,0.94,0.0012149,375525120,407474
msong_0_9.92272_420,20,8,360,21.243,1952,0.9415,0.00121639,375525120,426363
msong_0_9.92272_420,20,8,380,21.243,1952,0.944,0.00132094,375525120,445034
msong_0_9.92272_420,20,8,400,21.243,1952,0.9465,0.001339,375525120,463841
msong_0_9.92272_420,20,8,420,21.243,1952,0.9485,0.00148647,375525120,482059
msong_0_9.92272_420,20,8,440,21.243,1952,0.95,0.00149927,375525120,500019
msong_0_9.92272_420,20,8,460,21.243,1952,0.951,0.00153236,375525120,517862
msong_0_9.92272_420,20,8,480,21.243,1952,0.9515,0.00166815,375525120,535416
msong_0_9.92272_420,20,8,500,21.243,1952,0.9525,0.00197635,375525120,553140
msong_0_9.92272_420,20,8,520,21.243,1952,0.954,0.00181534,375525120,570794
msong_0_9.92272_420,20,8,540,21.243,1952,0.9555,0.00204557,375525120,588305
msong_0_9.92272_420,20,8,560,21.243,1952,0.9565,0.00218175,375525120,605605
msong_0_9.92272_420,20,8,580,21.243,1952,0.958,0.00218065,375525120,622923
msong_0_9.92272_420,20,8,600,21.243,1952,0.9595,0.00225117,375525120,639747
msong_0_9.92272_420,20,8,620,21.243,1952,0.96,0.00199969,375525120,656757
msong_0_9.92272_420,20,8,640,21.243,1952,0.961,0.00244097,375525120,673505
msong_0_9.92272_420,20,8,660,21.243,1952,0.963,0.00249708,375525120,690534
msong_0_9.92272_420,20,8,680,21.243,1952,0.963,0.00245442,375525120,706749
msong_0_9.92272_420,20,8,700,21.243,1952,0.964,0.00265882,375525120,723318
msong_0_9.92272_420,20,8,730,21.243,1952,0.965,0.00219735,375525120,747943
msong_0_9.92272_420,20,8,760,21.243,1952,0.9665,0.00229289,375525120,772551
msong_0_9.92272_420,20,8,790,21.243,1952,0.9675,0.0026141,375525120,796693
msong_0_9.92272_420,20,8,820,21.243,1952,0.969,0.00262218,375525120,821191
msong_0_9.92272_420,20,8,850,21.243,1952,0.9695,0.00295472,375525120,845293
msong_0_9.92272_420,20,8,880,21.243,1952,0.97,0.00290721,375525120,868744
msong_0_9.92272_420,20,8,910,21.243,1952,0.9705,0.00322087,375525120,892391
msong_0_9.92272_420,20,8,940,21.243,1952,0.971,0.00280928,375525120,916307
msong_0_9.92272_420,20,8,970,21.243,1952,0.971,0.00316413,375525120,939669
msong_0_9.92272_420,20,8,1000,21.243,1952,0.971,0.00277469,375525120,963052
msong_0_9.92272_420,20,8,1100,21.243,1952,0.9725,0.00338001,375525120,1039702
msong_0_9.92272_420,20,8,1200,21.243,1952,0.9735,0.00323183,375525120,1114652
msong_0_9.92272_420,20,8,1300,21.243,1952,0.975,0.00390987,375525120,1188534
msong_0_9.92272_420,20,8,1400,21.243,1952,0.9775,0.00406633,375525120,1261017
msong_0_9.92272_420,20,8,1500,21.243,1952,0.978,0.00380259,375525120,1332416
msong_0_9.92272_420,20,8,1600,21.243,1952,0.9785,0.00380284,375525120,1403000
msong_0_9.92272_420,20,8,1700,21.243,1952,0.979,0.00408151,375525120,1473531
msong_0_9.92272_420,20,8,1800,21.243,1952,0.9805,0.00427953,375525120,1542495
msong_0_9.92272_420,20,8,1900,21.243,1952,0.9805,0.00453444,375525120,1610748
msong_0_9.92272_420,20,8,2000,21.243,1952,0.9805,0.00513789,375525120,1678018
msong_0_9.92272_420,20,8,2100,21.243,1952,0.981,0.00494628,375525120,1745102
msong_0_9.92272_420,20,8,2200,21.243,1952,0.981,0.00566237,375525120,1811099
msong_0_9.92272_420,20,8,2300,21.243,1952,0.982,0.00549179,375525120,1876180
msong_0_9.92272_420,20,8,2400,21.243,1952,0.982,0.00623531,375525120,1941043
msong_0_9.92272_420,20,8,2500,21.243,1952,0.9825,0.00624043,375525120,2004660
msong_0_9.92272_420,20,8,2600,21.243,1952,0.983,0.00637962,375525120,2068457
msong_0_9.92272_420,20,8,2700,21.243,1952,0.9835,0.00697163,375525120,2131878
msong_0_9.92272_420,20,8,2800,21.243,1952,0.9835,0.00614031,375525120,2194393
msong_0_9.92272_420,20,8,2900,21.243,1952,0.9835,0.00670784,375525120,2257854
msong_0_9.92272_420,20,8,3000,21.243,1952,0.9835,0.00669222,375525120,2320357
msong_0_9.92272_420,20,8,3100,21.243,1952,0.9835,0.00643697,375525120,2381877
msong_0_9.92272_420,20,8,3200,21.243,1952,0.9835,0.00645059,375525120,2443190
msong_0_9.92272_420,20,8,3300,21.243,1952,0.9835,0.00655503,375525120,2503640
msong_0_9.92272_420,20,8,3400,21.243,1952,0.9835,0.00675197,375525120,2564110
msong_0_9.92272_420,20,8,3500,21.243,1952,0.984,0.00696506,375525120,2624245
msong_0_9.92272_420,20,8,3600,21.243,1952,0.984,0.00728272,375525120,2684041
msong_0_9.92272_420,20,8,3700,21.243,1952,0.984,0.00758767,375525120,2743675
msong_0_9.92272_420,20,8,3800,21.243,1952,0.984,0.00756807,375525120,2802665
msong_0_9.92272_420,20,8,3900,21.243,1952,0.984,0.00776077,375525120,2861059
msong_0_9.92272_420,20,8,4000,21.243,1952,0.984,0.00839334,375525120,2919618
msong_0_9.92272_420,20,8,4100,21.243,1952,0.984,0.00799197,375525120,2977546
msong_0_9.92272_420,20,8,4200,21.243,1952,0.984,0.00883818,375525120,3035520
msong_0_9.92272_420,20,8,4300,21.243,1952,0.984,0.00831147,375525120,3092428
msong_0_9.92272_420,20,8,4400,21.243,1952,0.984,0.0102472,375525120,3149518
msong_0_9.92272_420,20,8,4500,21.243,1952,0.984,0.0151816,375525120,3206034
msong_0_9.92272_420,20,8,4600,21.243,1952,0.984,0.0108494,375525120,3262519
msong_0_9.92272_420,20,8,4700,21.243,1952,0.984,0.0105009,375525120,3318625
msong_0_9.92272_420,20,8,4800,21.243,1952,0.984,0.0110896,375525120,3375207
msong_0_9.92272_420,20,8,4900,21.243,1952,0.984,0.0117644,375525120,3430764
msong_0_9.92272_420,20,8,5000,21.243,1952,0.9845,0.0113227,375525120,3486847
msong_0_9.92272_420,20,12,10,24.2185,1982,0.552,0.000125965,398225464,47995
msong_0_9.92272_420,20,12,15,24.2185,1982,0.638,0.00013445,398225464,57484
msong_0_9.92272_420,20,12,20,24.2185,1982,0.681,0.00016207,398225464,66596
msong_0_9.92272_420,20,12,25,24.2185,1982,0.7345,0.00018768,398225464,75611
msong_0_9.92272_420,20,12,30,24.2185,1982,0.7645,0.00020956,398225464,84588
msong_0_9.92272_420,20,12,35,24.2185,1982,0.791,0.000231965,398225464,92340
msong_0_9.92272_420,20,12,40,24.2185,1982,0.806,0.000298635,398225464,100031
msong_0_9.92272_420,20,12,45,24.2185,1982,0.827,0.000396395,398225464,107754
msong_0_9.92272_420,20,12,50,24.2185,1982,0.841,0.000300055,398225464,115810
msong_0_9.92272_420,20,12,60,24.2185,1982,0.865,0.00034908,398225464,130914
msong_0_9.92272_420,20,12,70,24.2185,1982,0.88,0.00040051,398225464,145651
msong_0_9.92272_420,20,12,80,24.2185,1982,0.889,0.0004315,398225464,159581
msong_0_9.92272_420,20,12,90,24.2185,1982,0.8975,0.00044028,398225464,173440
msong_0_9.92272_420,20,12,100,24.2185,1982,0.9055,0.00046955,398225464,186970
msong_0_9.92272_420,20,12,120,24.2185,1982,0.917,0.00055253,398225464,214557
msong_0_9.92272_420,20,12,140,24.2185,1982,0.9255,0.0006713,398225464,240936
msong_0_9.92272_420,20,12,160,24.2185,1982,0.9345,0.000951295,398225464,266568
msong_0_9.92272_420,20,12,180,24.2185,1982,0.9425,0.00091924,398225464,291614
msong_0_9.92272_420,20,12,200,24.2185,1982,0.949,0.00089361,398225464,316162
msong_0_9.92272_420,20,12,220,24.2185,1982,0.953,0.000970895,398225464,340096
msong_0_9.92272_420,20,12,240,24.2185,1982,0.956,0.00103792,398225464,363995
msong_0_9.92272_420,20,12,260,24.2185,1982,0.9595,0.00149225,398225464,386559
msong_0_9.92272_420,20,12,280,24.2185,1982,0.963,0.00119726,398225464,409767
msong_0_9.92272_420,20,12,300,24.2185,1982,0.9655,0.00125569,398225464,432534
msong_0_9.92272_420,20,12,320,24.2185,1982,0.968,0.00167539,398225464,454368
msong_0_9.92272_420,20,12,340,24.2185,1982,0.9705,0.00150415,398225464,475878
msong_0_9.92272_420,20,12,360,24.2185,1982,0.9705,0.0014599,398225464,497180
msong_0_9.92272_420,20,12,380,24.2185,1982,0.9735,0.00192419,398225464,518482
